hour,A10,A100-SXM4-80GB,GPU-series-1,H800,GPU-series-2,A800-SXM4-80GB
215,3444.6399999999976,2291.5,743.0,1432.0,763.0,74.0
216,3440.439999999998,2058.5,743.0,1408.0,635.0,50.0
217,3457.0399999999977,2022.5,743.0,1472.0,636.0,56.0
218,3447.5399999999977,1972.5,743.0,1480.0,634.0,54.0
219,3463.5399999999977,1963.5,742.0,1480.0,635.0,54.0
220,3463.6399999999976,1967.5,742.0,1448.0,635.0,54.0
221,3463.5399999999977,1971.5,743.0,1416.0,634.0,54.0
222,3462.6399999999976,1985.5,743.0,1416.0,634.0,54.0
223,3465.5399999999977,1976.5,743.0,1416.0,634.0,54.0
224,3460.6399999999976,2022.5,742.0,1416.0,634.0,54.0
225,3463.5399999999977,2012.5,743.0,1416.0,636.0,54.0
226,3459.5399999999977,2074.5,743.0,1416.0,635.0,70.0
227,3464.439999999998,2116.5,744.0,1432.0,636.0,66.0
228,3467.439999999998,2124.5,743.0,1408.0,634.0,130.0
229,3471.439999999998,2169.5,742.0,1512.0,643.0,130.0
230,3472.339999999998,2221.5,744.0,1504.0,644.0,66.0
231,3473.5399999999977,2294.5,744.0,1464.0,643.0,66.0
232,3473.339999999998,2257.5,744.0,1480.0,646.0,66.0
233,3479.439999999998,2189.5,759.0,1560.0,652.0,74.0
234,3486.5399999999977,2209.5,744.0,1640.0,652.0,106.0
235,3488.339999999998,2285.5,743.0,1456.0,655.0,58.0
236,3491.439999999998,2241.5,741.0,1440.0,648.0,58.0
237,3489.339999999998,2295.5,785.0,1416.0,643.0,53.0
238,3495.5399999999977,2301.5,740.0,1428.0,644.0,53.0
239,3503.439999999998,2281.5,742.0,1496.0,642.0,53.0
240,3458.739999999998,1726.5,735.0,56.0,318.0,45.0
241,3436.639999999998,1736.5,736.0,112.0,315.0,47.0
242,3439.139999999998,1657.5,735.0,112.0,306.0,45.0
243,3448.139999999998,1600.5,733.0,88.0,306.0,45.0
244,3434.139999999998,1589.5,735.0,80.0,306.0,45.0
245,3429.139999999998,1577.5,735.0,56.0,306.0,45.0
246,3421.039999999998,1570.5,735.0,40.0,306.0,45.0
247,3446.239999999998,1593.5,735.0,16.0,306.0,45.0
248,3438.039999999998,1634.5,734.0,0.0,306.0,45.0
