job_name,organization,job_type,duration,gpu_request,worker_num,gpu_demand,cpu_request,submit_time,cpu_per_gpu
229653,13,HP,3657354.0,1.0,1,1.0,192.0,489845.0,192.0
321814,19,HP,2862398.0,1.0,1,1.0,192.0,2321601.0,192.0
321806,19,HP,7851987.0,1.0,1,1.0,192.0,2321601.0,192.0
229698,13,HP,6594954.0,1.0,1,1.0,192.0,489845.0,192.0
229673,13,HP,6594954.0,1.0,1,1.0,192.0,489845.0,192.0
229656,13,HP,9647158.0,1.0,1,1.0,192.0,489845.0,192.0
229658,13,HP,6594954.0,1.0,1,1.0,192.0,489845.0,192.0
229665,13,HP,6594954.0,1.0,1,1.0,192.0,489845.0,192.0
229633,13,HP,6594954.0,1.0,1,1.0,192.0,489845.0,192.0
229638,13,HP,6594954.0,1.0,1,1.0,192.0,489845.0,192.0
229757,19,HP,994414.0,1.0,1,1.0,192.0,6176785.0,192.0
229659,13,HP,1670154.0,1.0,1,1.0,192.0,489845.0,192.0
229600,13,HP,1324554.0,1.0,1,1.0,192.0,489845.0,192.0
229605,13,HP,1670154.0,1.0,1,1.0,192.0,489845.0,192.0
229641,13,HP,1670154.0,1.0,1,1.0,192.0,489845.0,192.0
229701,13,HP,3657354.0,1.0,1,1.0,192.0,489845.0,192.0
229627,13,HP,6594954.0,1.0,1,1.0,192.0,489845.0,192.0
229666,13,HP,1324554.0,1.0,1,1.0,192.0,489845.0,192.0
229648,13,HP,3657354.0,1.0,1,1.0,192.0,489845.0,192.0
229868,19,HP,362281.0,1.0,1,1.0,192.0,15535318.0,192.0
230087,19,HP,6511588.0,1.0,1,1.0,192.0,8349211.0,192.0
229711,13,HP,1038.0,1.0,1,1.0,192.0,9502786.0,192.0
229921,19,HP,3234735.0,1.0,1,1.0,192.0,7140318.0,192.0
229827,19,HP,408575.0,1.0,1,1.0,192.0,15489024.0,192.0
229944,18,HP,5401042.0,1.0,1,1.0,192.0,9632557.0,192.0
229900,19,HP,391628.0,1.0,1,1.0,192.0,6779571.0,192.0
229614,13,HP,1029.0,1.0,1,1.0,192.0,9503825.0,192.0
229608,13,HP,990.0,1.0,1,1.0,192.0,9504855.0,192.0
229842,19,HP,423314.0,1.0,1,1.0,192.0,15474285.0,192.0
229947,18,HP,6265042.0,1.0,1,1.0,192.0,9632557.0,192.0
229566,13,HP,8121599.0,1.0,1,1.0,192.0,0.0,192.0
229587,13,HP,1085979.0,1.0,1,1.0,192.0,5998820.0,192.0
229618,13,HP,308379.0,1.0,1,1.0,192.0,5998820.0,192.0
229706,13,HP,1085979.0,1.0,1,1.0,192.0,5998820.0,192.0
229696,13,HP,1085979.0,1.0,1,1.0,192.0,5998820.0,192.0
229565,13,HP,8121599.0,1.0,1,1.0,192.0,0.0,192.0
229759,19,HP,423347.0,1.0,1,1.0,192.0,15474252.0,192.0
230108,18,HP,454340.0,1.0,1,1.0,192.0,15443259.0,192.0
229775,19,HP,462505.0,1.0,1,1.0,192.0,15435094.0,192.0
229712,13,HP,1085979.0,1.0,1,1.0,192.0,5998820.0,192.0
229647,13,HP,6391753.0,1.0,1,1.0,192.0,9505846.0,192.0
229714,13,HP,308379.0,1.0,1,1.0,192.0,5998820.0,192.0
229662,13,HP,308379.0,1.0,1,1.0,192.0,5998820.0,192.0
229654,13,HP,1085979.0,1.0,1,1.0,192.0,5998820.0,192.0
229815,19,HP,654426.0,1.0,1,1.0,192.0,5999850.0,192.0
321811,19,HP,684332.0,1.0,1,1.0,192.0,15213267.0,192.0
229620,13,HP,800041.0,1.0,1,1.0,192.0,5507158.0,192.0
229926,19,HP,1171349.0,1.0,1,1.0,192.0,5999850.0,192.0
229810,19,HP,9120149.0,1.0,1,1.0,192.0,5999850.0,192.0
229819,19,HP,1171349.0,1.0,1,1.0,192.0,5999850.0,192.0
229954,18,HP,2158968.0,1.0,1,1.0,192.0,9632557.0,192.0
229564,13,HP,2246399.0,1.0,1,1.0,192.0,0.0,192.0
229718,19,HP,2081238.0,1.0,1,1.0,192.0,6385961.0,192.0
