hour,jobs_active,gpus_active_requested,capacity_gpus,demand_capacity_ratio
1090,5654.0,7934.700000000003,10412,0.762072608528621
1091,5779.0,9191.700000000003,10412,0.8827986938148293
1092,5733.0,8243.700000000003,10412,0.791749903956973
1093,5712.0,8337.700000000003,10412,0.8007779485209376
1094,5734.0,8508.200000000003,10412,0.8171532846715331
1095,5724.0,9245.700000000003,10412,0.8879850172877451
1096,5789.0,9767.700000000003,10412,0.9381194775259318
1097,5828.0,9534.700000000003,10412,0.9157414521705727
1098,5815.0,9007.700000000003,10412,0.8651267767960048
1099,5816.0,9247.700000000003,10412,0.8881771033422976
1100,5849.0,9929.700000000003,10412,0.9536784479446795
1101,5816.0,10218.200000000003,10412,0.9813868613138689
1102,5836.0,10040.700000000003,10412,0.9643392239723398
1103,5818.0,9981.700000000003,10412,0.9586726853630428
1104,5506.0,8298.400000000003,10412,0.7970034575489823
1105,5482.0,8126.900000000003,10412,0.7805320783711106
1106,5443.0,8058.400000000003,10412,0.7739531310026895
1107,5455.0,8597.400000000003,10412,0.825720322704572
1108,5473.0,8365.900000000003,10412,0.8034863618901271
1109,5485.0,8359.400000000003,10412,0.8028620822128316
1110,5508.0,8383.900000000003,10412,0.8052151363810991
1111,5511.0,8403.900000000003,10412,0.8071359969266234
1112,5508.0,8361.400000000003,10412,0.8030541682673841
1113,5517.0,8614.900000000003,10412,0.8274010756819058
1114,5588.0,9442.400000000003,10412,0.9068766807529777
1115,5649.0,9537.400000000003,10412,0.9160007683442185
1116,5647.0,9367.900000000003,10412,0.8997214752208993
1117,5643.0,9347.400000000003,10412,0.8977525931617367
1118,5701.0,9704.000000000004,10412,0.9320015366884368
1119,5767.0,10230.900000000003,10412,0.982606607760277
1120,5856.0,10381.400000000003,10412,0.997061083365348
1121,5879.0,10115.600000000004,10412,0.9715328467153288
1122,5887.0,10291.400000000003,10412,0.9884172109104882
1123,5943.0,10313.300000000003,10412,0.9905205532078374
1124,5934.0,10365.700000000003,10412,0.9955532078371113
1125,5878.0,10111.100000000002,10412,0.9711006530925856
1126,5863.0,10226.500000000002,10412,0.9821840184402614
1127,5878.0,10008.000000000002,10412,0.9611986169804074
1128,5652.0,8535.900000000001,10412,0.8198136765270843
1129,5598.0,8439.900000000001,10412,0.8105935459085671
1130,5571.0,8147.800000000001,10412,0.7825393776411833
1131,5552.0,8363.800000000001,10412,0.8032846715328468
1132,5555.0,8346.300000000001,10412,0.8016039185555129
1133,5574.0,8360.300000000001,10412,0.80294852093738
1134,5585.0,8596.300000000001,10412,0.8256146753745679
1135,5584.0,8581.800000000001,10412,0.8242220514790627
1136,5582.0,8584.800000000001,10412,0.8245101805608914
1137,5597.0,8671.300000000001,10412,0.8328179024202844
1138,5671.0,8665.300000000001,10412,0.8322416442566271
1139,5843.0,9368.7,10412,0.89979830964272
1140,5776.0,9192.400000000001,10412,0.8828659239339225
1141,5798.0,9263.7,10412,0.8897137917787169
1142,5856.0,9652.2,10412,0.9270265078755283
1143,5892.0,9708.6,10412,0.932443334613907
1144,5958.0,10264.800000000001,10412,0.9858624663849406
1145,5965.0,9953.2,10412,0.9559354590856705
1146,5919.0,9779.800000000001,10412,0.939281598155974
1147,5944.0,9834.6,10412,0.9445447560507108
1148,5947.0,9596.6,10412,0.9216865155589704
1149,5927.0,9734.6,10412,0.9349404533230887
1150,5911.0,9873.6,10412,0.9482904341144833
1151,5905.0,10223.1,10412,0.9818574721475222
1152,5734.0,8124.6,10412,0.780311179408375
1153,5714.0,8880.6,10412,0.8529197080291971
1154,5665.0,8289.4,10412,0.796139070303496
1155,5671.0,7995.9,10412,0.7679504417979255
1156,5653.0,7691.4,10412,0.7387053399923165
1157,5666.0,7444.9,10412,0.7150307337687284
1158,5683.0,7456.9,10412,0.716183250096043
1159,5676.0,7425.4,10412,0.7131578947368421
1160,5697.0,7447.9,10412,0.715318862850557
1161,5703.0,7499.9,10412,0.7203131002689205
1162,5776.0,8235.9,10412,0.7910007683442182
1163,5907.0,9821.4,10412,0.9432769880906646
1164,5902.0,9970.4,10412,0.9575873991548213
1165,5836.0,9461.4,10412,0.9087014982712255
1166,5925.0,12025.9,10412,1.155003841721091
1167,5920.0,9761.4,10412,0.9375144064540915
1168,5965.0,9852.15,10412,0.9462303111794084
1169,5997.0,10014.15,10412,0.9617892815981559
1170,5972.0,10134.65,10412,0.9733624663849404
1171,6024.0,10452.15,10412,1.00385612754514
1172,6020.0,10107.15,10412,0.9707212831348444
1173,6005.0,10186.15,10412,0.9783086822896657
1174,6009.0,10030.15,10412,0.9633259700345754
1175,5999.0,10347.15,10412,0.9937716096811371
1176,5790.0,8277.05,10412,0.7949529389166345
1177,5797.0,8558.75,10412,0.8220082597003457
1178,5730.0,8230.95,10412,0.790525355359201
1179,5717.0,8241.85,10412,0.7915722243565118
1180,5720.0,7991.650000000001,10412,0.7675422589320016
