submit_hour,jobs,gpu_seconds,gpu_demand
3197,17,10729087.0,49.0
3198,33,23092753.2,111.6
3199,13,933418.5,59.5
3200,20,1307058.0,66.0
3201,22,110333633.0,2120.0
3202,85,19250634.0,641.0
3203,83,57294837.2,530.9
3204,58,10709963.4,518.3
3205,58,11731710.0,933.0
3206,95,34735640.5,624.5
3207,107,56927827.0,603.5
3208,106,22001705.6,774.3
3209,121,33904943.0,1046.0
3210,36,3944486.0,780.0
3211,36,2579666.8,413.3
3212,33,6681389.0,293.0
3213,16,5982648.7,85.3
3214,28,5456115.0,474.0
3215,19,17162304.0,107.0
3216,51,22630719.5,778.0
3217,34,7104804.5,783.5
3218,40,30815210.0,248.0
3219,19,30347537.0,186.0
3220,18,13887686.0,187.0
3221,12,4054330.0,20.0
3222,17,8940889.0,18.0
3223,34,5937061.0,351.0
3224,49,32903057.0,221.0
3225,27,2803815.0,369.0
3226,27,23237861.0,459.0
3227,36,4452659.0,719.0
3228,28,122976298.0,1608.0
3229,31,16108546.0,449.0
3230,33,7012165.0,461.0
3231,28,819810.0,373.0
3232,30,8264707.0,413.0
3233,57,13038168.0,1236.0
3234,27,327590.0,187.0
3235,38,7575916.0,610.0
3236,31,14116163.0,836.0
3237,37,10745538.0,187.0
3238,34,50006935.0,976.0
3239,33,10930261.0,755.0
3240,34,8344269.0,320.0
3241,34,10925453.0,185.0
3242,23,5268499.0,49.0
3243,14,8817066.0,150.0
3244,14,7031817.0,276.0
3245,17,6113313.0,62.0
3246,28,21251639.0,85.0
3247,48,19382775.0,76.0
3248,23,4104655.0,311.0
3249,26,680349.0,104.0
3250,47,7715765.0,805.0
3251,35,18311280.0,791.0
3252,32,40533805.0,1348.0
3253,31,2123009.0,178.0
3254,41,22017968.0,557.0
3255,21,9295095.0,42.0
3256,31,7863767.0,46.0
3257,46,23008172.0,146.0
3258,49,15698607.0,685.0
3259,45,15791918.0,726.0
3260,57,27063097.0,1760.0
3261,36,63950496.0,1148.0
3262,35,11794287.0,200.0
3263,30,3822278.0,83.0
3264,43,9220969.0,205.0
3265,41,8659093.0,180.0
3266,51,30613462.0,1519.0
3267,34,13053917.0,1187.0
3268,32,10383336.0,44.0
3269,34,5029288.0,54.0
3270,25,518005.0,48.0
3271,46,37366981.0,72.0
3272,39,4983221.0,646.0
3273,50,3227504.0,224.0
3274,120,52561457.0,2642.0
3275,141,74176417.0,2792.0
3276,107,14719563.0,383.0
3277,62,6897905.0,2068.0
3278,137,43649464.0,2294.0
3279,144,17024280.9,594.8
3280,152,12284752.0,637.0
3281,167,73496552.7,796.3
3282,87,19276658.3,995.6
3283,74,9090505.0,408.0
3284,80,24863784.0,425.0
3285,67,6222533.0,604.0
3286,44,6106812.0,789.0
3287,35,21013625.0,725.0
3288,34,5695343.0,229.0
3289,34,21404991.0,262.0
3290,41,32814251.0,136.0
3291,30,11845233.0,41.0
3292,23,4876324.0,47.9
3293,20,12111243.0,46.0
3294,25,41573292.0,40.0
3295,28,6640142.0,37.0
3296,13,388944.0,14.0
3297,30,24766473.0,417.0
3298,103,30435266.0,935.0
3299,113,141220417.9,868.7
3300,71,23154885.0,623.0
3301,39,11305437.0,209.0
3302,91,15731851.2,2909.5
3303,93,44580614.1,2368.4
3304,149,66971868.3,1180.9
3305,89,16046892.4,900.0
3306,52,16418298.0,1272.0
3307,89,34114922.8,511.9
3308,93,16668922.0,1649.4
3309,77,22693584.0,2819.0
3310,40,9318681.0,700.0
3311,47,3341875.5,659.5
3312,37,17396585.0,206.0
3313,35,17241183.0,1212.0
3314,34,16526804.8,507.3
3315,28,9134785.0,339.0
3316,20,5068318.0,342.0
3317,17,2029585.0,39.0
3318,23,17433664.0,297.0
3319,23,7138269.0,47.0
3320,22,611074.0,51.0
3321,44,18952663.0,442.5
3322,108,19689434.0,713.0
3323,98,41849100.0,1362.5
3324,47,4951672.0,853.0
3325,74,14696806.0,1538.0
3326,179,70295154.5,1192.3
3327,121,32926885.0,1531.0
3328,138,29136334.0,1127.0
3329,132,81821602.5,1763.0
3330,77,147775498.0,2086.0
3331,86,21327224.0,1246.0
3332,97,35472378.0,470.0
3333,64,28284394.0,639.0
3334,59,14222338.0,460.0
3335,70,58489538.0,1231.5
3336,80,55924332.0,1484.5
3337,38,18496915.0,721.5
3338,35,5987246.0,463.0
3339,43,4276376.0,878.0
3340,14,31201773.0,605.0
3341,26,10838970.0,157.0
3342,27,2165969.0,29.0
3343,38,8619796.0,72.0
3344,42,28691008.0,66.0
3345,34,31731144.0,150.0
3346,102,41903763.5,806.0
3347,136,133202557.0,1070.0
3348,85,14934714.0,346.0
3349,126,27611228.0,876.0
3350,185,36419178.4,958.1
3351,144,44526344.5,1179.5
3352,119,35342874.7,1060.6
3353,149,52677325.7,2646.9
3354,86,19799500.5,1736.5
3355,105,31497406.0,2269.5
3356,108,42488558.2,2061.8
3357,97,10297209.5,601.0
3358,76,8611102.5,1234.0
3359,56,11890098.0,522.0
3360,75,47006653.5,268.5
3361,69,20576204.0,1032.5
3362,34,9201691.8,360.0
3363,27,12959046.0,291.0
3364,15,9317433.0,270.0
3365,28,14485990.0,354.0
3366,26,9311966.0,29.0
3367,31,17007921.0,51.0
3368,34,18347865.0,68.0
3369,28,26821848.0,130.0
3370,116,35085730.5,745.5
3371,82,38979925.9,396.6
3372,70,41010804.3,366.6
3373,56,6830860.7,513.4
3374,141,32047428.5,1873.8
3375,102,72343995.7,958.9
3376,125,35805023.7,851.6
3377,110,69875554.5,683.6
3378,60,91982426.7,961.3000000000001
3379,33,11339936.5,1684.5
3380,41,11102378.0,1697.0
3381,36,6671048.5,850.0
3382,23,11273746.0,404.0
3383,39,1784407.0,636.0
3384,48,33162853.0,625.5
3385,34,26555385.5,922.3
3386,28,44742927.0,671.0
3387,24,48304266.0,547.3
3388,17,20899367.0,1048.0
3389,24,15314775.0,60.0
3390,21,7587020.0,31.0
3391,21,453829.0,31.0
3392,26,7223522.0,179.0
3393,34,5141726.5,503.5
3394,24,6247407.0,1512.0
3395,25,20933800.0,125.0
3396,33,11011405.3,94.2
3397,34,17359638.0,700.0
3398,84,6554522.0,623.6
3399,95,17145455.0,359.0
3400,112,13181875.0,679.0
3401,121,20552962.0,974.0
3402,146,22868229.0,1686.0
3403,149,13831249.0,526.0
3404,120,13085482.0,263.0
3405,118,2141228.5,191.3
3406,154,4857494.0,256.0
3407,107,3427671.0,654.0
3408,120,15797473.0,1029.0
3409,64,9635583.9,669.2
3410,71,4088812.0,101.0
3411,49,6589332.0,50.0
3412,42,7040174.2,41.3
3413,91,4128998.0,119.0
3414,100,4224219.0,100.0
3415,78,15954956.2,75.2
3416,49,4196153.0,122.0
3417,45,4471075.0,103.0
3418,45,16270669.0,198.0
3419,46,15886991.0,622.0
3420,26,7587431.0,224.3
3421,41,11421863.5,306.1
3422,58,19017720.0,259.0
3423,40,1515972.0,214.0
3424,67,12845272.0,545.5
3425,71,14691925.1,421.3
3426,61,1343232.0,187.0
3427,56,403252.0,118.0
3428,47,5015487.0,159.0
3429,53,25101093.0,424.0
3430,65,4115490.2,732.3
3431,56,13271951.0,436.0
3432,85,55748292.5,372.5
3433,55,52797828.6,777.6
3434,38,21260146.5,868.4
3435,22,7372899.0,277.5
3436,22,875697.0,29.0
3437,37,8852989.0,130.0
3438,25,4970952.0,43.0
3439,27,675605.5,120.5
3440,21,345679.5,27.3
3441,56,40535429.0,375.0
3442,113,131758605.1,1290.9
3443,106,32448389.4,637.6
3444,55,34854109.5,725.5
3445,67,12594975.8,332.8
3446,127,38586980.7,1165.8
3447,176,22275470.0,819.0
3448,167,39731507.5,1470.5
3449,158,3828793.0,474.0
3450,123,1014628.0,336.0
3451,162,33505630.0,766.0
